origin,_c1
PHF,0.016458672454331705
PHL,0.023438847856984416
PHX,0.009270955119882027
PIA,0.050835148874364564
PIE,0.014193548387096775
PIH,0.021024258760107817
PIT,0.01697296779447221
PNS,0.03890350269970926
PSC,0.017059106198942815
PSG,0.04945054945054945
PSP,0.014165009940357853
PUB,0.3333333333333333
PVD,0.012710611882944133
PVU,0.0
PWM,0.044401896425966446
RAP,0.014856081708449397
RDD,0.018937644341801386
RDM,0.023713826366559485
RDU,0.025694656734188213
RIC,0.020596300834354396
RNO,0.010707970397537495
ROA,0.04384844614729672
ROC,0.01961709939680042
RST,0.05302713987473904
RSW,0.012329330106397552
SAN,0.010964504738896116
SAT,0.014366700318397142
SAV,0.020463847203274217
SBA,0.019680621493310315
SBN,0.03468089472604145
SBP,0.01590949266395616
SCC,0.07865168539325842
SCE,0.03510825043885313
SDF,0.018152811314246294
SEA,0.01169825805626131
SFO,0.013599163128422867
SGF,0.025134926754047802
SGU,0.012680521310320535
SHV,0.02237136465324385
SIT,0.00975975975975976
SJC,0.0134941827198169
SJT,0.022492625368731565
SJU,0.012390643187023617
SLC,0.011151639226089213
SMF,0.009191289864906546
SMX,0.016455101081335213
SNA,0.013174626336745116
SPS,0.020398912058023574
SRQ,0.024401838060529233
STL,0.013581677794283289
STT,0.01366120218579235
STX,0.0171990171990172
SUN,0.06400259909031839
SWF,0.025584333543903978
SYR,0.01852340145023072
TLH,0.02720834886321282
TOL,0.04030951952492352
TPA,0.016266622062390233
TRI,0.040242976461655276
TUL,0.018342644320297953
TUS,0.005771924908938078
TVC,0.0381653833277536
TWF,0.022406234778373113
TXK,0.02348825587206397
TYR,0.016689847009735744
TYS,0.023010267239496104
VCT,0.04267701260911736
VIS,0.08968609865470852
VLD,0.020714285714285713
VPS,0.036968576709796676
WRG,0.04401650618982118
WYS,0.07083333333333333
XNA,0.034405719392314564
YAK,0.038461538461538464
YUM,0.006928406466512702
